scenario_id,retrofit,hp_type,climate_zone,hdd,envelope_class,price_scenario,npv,annual_savings,payback_years,baseline_gas_therms,hp_electricity_kwh,baseline_emissions_kg,hp_emissions_kg,emissions_reduction_kg,total_investment,viability_score,is_viable
117,insulation_attic,standard,Moderate,5000,Poor,low,-15498.402141602059,0.15394133333333349,100687.7078713968,0.88,6.875733333333333,4.664,2.6540330666666665,2.009966933333333,15500,0.7050000000000001,True
118,insulation_attic,standard,Moderate,5000,Poor,base,-15499.943977525681,0.005397333333333365,2871788.5375493905,0.88,6.875733333333333,4.664,2.6540330666666665,2.009966933333333,15500,0.46630714285714286,False
119,insulation_attic,standard,Moderate,5000,Poor,high,-15501.999758757182,-0.19266133333333313,999.0,0.88,6.875733333333333,4.664,2.6540330666666665,2.009966933333333,15500,0.14805,False
120,insulation_attic,standard,Moderate,5000,Medium,low,-15499.08977872359,0.08769280000000002,176753.39366515834,0.78,6.7038400000000005,4.134,2.5876822400000004,1.54631776,15500,0.5217,True
121,insulation_attic,standard,Moderate,5000,Medium,base,-15500.835952747215,-0.0805376000000001,999.0,0.78,6.7038400000000005,4.134,2.5876822400000004,1.54631776,15500,0.34506728571428574,False
122,insulation_attic,standard,Moderate,5000,Medium,high,-15503.164184778716,-0.30484480000000014,999.0,0.78,6.7038400000000005,4.134,2.5876822400000004,1.54631776,15500,0.10955699999999999,False
123,insulation_attic,standard,Moderate,5000,Good,low,-15499.592508464963,0.039258666666666664,394817.28026083414,0.68,6.309266666666667,3.604,2.4353769333333335,1.1686230666666666,15500,0.34545000000000003,False
124,insulation_attic,standard,Moderate,5000,Good,base,-15501.404340053477,-0.13529733333333338,999.0,0.68,6.309266666666667,3.604,2.4353769333333335,1.1686230666666666,15500,0.2284905,False
125,insulation_attic,standard,Moderate,5000,Good,high,-15503.820115504828,-0.3680386666666666,999.0,0.68,6.309266666666667,3.604,2.4353769333333335,1.1686230666666666,15500,0.0725445,False
126,insulation_attic,standard,Cold,7000,Poor,low,-15499.008273252584,0.09554522352941164,162226.84324170995,1.4784,13.589684705882355,7.83552,5.245618296470589,2.589901703529411,15500,0.5083333333333333,True
127,insulation_attic,standard,Cold,7000,Poor,base,-15502.868064125114,-0.2763158588235297,999.0,1.4784,13.589684705882355,7.83552,5.245618296470589,2.589901703529411,15500,0.3362261904761904,False
128,insulation_attic,standard,Cold,7000,Poor,high,-15508.014451955152,-0.772130635294118,999.0,1.4784,13.589684705882355,7.83552,5.245618296470589,2.589901703529411,15500,0.10674999999999997,False
129,insulation_attic,standard,Cold,7000,Medium,low,-15500.121186732731,-0.01167540705882364,999.0,1.3103999999999998,13.249942588235294,6.945119999999998,5.114477839058823,1.8306421609411752,15500,0.37616666666666665,False
