HDD65,log_sqft,building_age,envelope_score,hdd_sqft,age_hdd,sqft_per_hdd,hdd_squared,envelope_class_encoded,climate_zone_encoded,TYPEHUQ,ADQINSUL,DRAFTY
5382,4.605170185988092,15,10.0,0.0,8.073,0.0,2.8965924,1,2,2,2,4
4776,5.438079308923196,15,11.0,1.09848,7.164,0.04815745393634841,2.2810176,0,2,5,1,4
1883,7.783224016336037,25,12.0,4.5192,4.7075,1.2745618693574083,0.3545689,0,1,2,2,3
6363,7.696212639346407,15,11.0,13.9986,9.5445,0.34574886060034576,4.0487769,0,0,2,1,4
4532,4.605170185988092,35,5.0,0.0,15.862,0.0,2.0539024,2,2,3,3,2
7068,6.907755278982137,45,9.0,7.068,31.806,0.1414827391058291,4.9956624,1,0,1,3,3
4588,7.659171367666058,2,12.0,9.72656,0.9176,0.46207497820401044,2.1049744,0,2,2,1,4
4486,7.495541943884256,80,9.0,8.0748,35.888,0.4012483281319661,2.0124196,1,2,2,2,3
1254,8.006367567650246,7,12.0,3.762,0.8778,2.3923444976076556,0.1572516,0,1,2,1,4
5144,7.673223121121708,7,12.0,11.0596,3.6008,0.4179626749611198,2.6460736,0,2,2,1,4
4308,7.090076835776092,65,8.0,5.1696,28.002,0.2785515320334262,1.8558864,1,2,2,2,3
5213,7.955074273262696,45,7.0,14.85705,23.4585,0.5467101477076539,2.7175369,1,2,2,2,4
5399,7.52294091807237,45,9.0,9.98815,24.2955,0.34265604741618816,2.9149201,1,2,2,3,3
2511,7.408530566894626,65,8.0,4.14315,16.3215,0.6571087216248507,0.6305121,1,1,2,3,3
4219,7.438383530044307,35,12.0,7.1723,14.7665,0.40293908509125387,1.7799961,0,2,3,1,3
4653,7.495541943884256,80,7.0,8.3754,37.224,0.38684719535783363,2.1650409,1,2,2,3,3
6205,7.293017679772782,65,10.0,9.12135,40.3325,0.23690572119258663,3.8502025,1,0,2,2,3
4188,6.327936783729195,80,5.0,2.34528,33.504,0.13371537726838587,1.7539344,2,2,5,3,2
2007,6.76849321164863,35,9.0,1.74609,7.0245,0.4334828101644245,0.4028049,1,1,2,2,4
4395,6.937314081223682,35,7.0,4.52685,15.3825,0.23435722411831628,1.9316025,1,2,3,3,2
4577,6.309918278226516,35,5.0,2.51735,16.0195,0.1201660476294516,2.0948929,2,2,5,3,4
1502,7.402451520818244,15,12.0,2.46328,2.253,1.0918774966711051,0.2256004,0,1,2,2,3
1272,7.090076835776092,55,10.0,1.5264,6.996,0.9433962264150944,0.1617984,1,1,2,3,3
1564,7.426549072397305,15,8.0,2.62752,2.346,1.0741687979539642,0.2446096,1,1,3,3,4
2753,7.24422751560335,45,7.0,3.8542,12.3885,0.5085361423901199,0.7579009,1,1,2,2,1
6906,7.326465613840322,2,12.0,10.49712,1.3812,0.22009846510280914,4.7692836,0,0,3,1,4
1713,7.047517221357296,15,10.0,1.96995,2.5695,0.6713368359603036,0.2934369,1,1,2,2,3
5441,6.309918278226516,80,9.0,2.99255,43.528,0.1010843594927403,2.9604481,1,2,2,2,3
2001,7.8632667240095735,2,11.0,5.2026,0.4002,1.2993503248375813,0.4004001,0,1,2,2,4
7811,7.649692623711514,65,9.0,16.4031,50.7715,0.2688516195109461,6.1011721,1,0,2,1,4
6773,4.605170185988092,80,7.0,0.0,54.184,0.0,4.5873529,1,0,4,3,3
5646,7.6255950721324535,25,13.0,11.5743,14.115,0.36308891250442793,3.1877316,0,2,2,1,3
5723,6.856461984594587,80,8.0,5.43685,45.784,0.16599685479643544,3.2752729,1,2,2,1,4
4501,7.090076835776092,80,5.0,5.4012,36.008,0.26660742057320597,2.0259001,2,2,2,2,4
7167,7.003065458786462,80,3.0,7.8837,57.336,0.1534812334310032,5.1365889,2,0,2,3,2
5863,5.8289456176102075,65,8.0,1.99342,38.1095,0.057990789698106775,3.4374769,1,2,1,3,3
1765,7.600902459542082,25,12.0,3.53,4.4125,1.13314447592068,0.3115225,0,1,2,2,3
4328,7.824046010856292,15,10.0,10.82,6.492,0.577634011090573,1.8731584,1,2,2,2,4
3984,7.3777589082278725,7,16.0,6.3744,2.7888,0.40160642570281124,1.5872256,0,2,3,1,3
6324,8.070906088787819,55,10.0,20.2368,34.782,0.5060088551549652,3.9992976,1,0,2,2,3
9415,5.703782474656201,55,10.0,2.8245,51.7825,0.03186404673393521,8.8642225,1,0,3,2,3
2542,7.495541943884256,7,12.0,4.5756,1.7794,0.7081038552321007,0.6461764,0,1,3,1,4
7413,7.709756864454165,45,9.0,16.53099,33.3585,0.30082287872656144,5.4952569,1,0,2,2,3
5783,7.8632667240095735,2,12.0,15.0358,1.1566,0.44959363652083695,3.3443089,0,2,2,1,4
4325,7.718685495198466,2,12.0,9.73125,0.865,0.5202312138728323,1.8705625,0,2,2,1,4
5612,7.495541943884256,2,11.0,10.1016,1.1224,0.3207412687099073,3.1494544,0,2,3,2,4
2847,4.605170185988092,45,11.0,0.0,12.8115,0.0,0.8105409,0,1,4,2,3
5258,8.131530710604252,45,10.0,17.8772,23.661,0.6466337010270065,2.7646564,1,2,2,1,4
5306,6.659293919683638,80,8.0,4.13868,42.448,0.14700339238597815,2.8153636,1,2,2,1,4
4985,4.605170185988092,55,6.0,0.0,27.4175,0.0,2.4850225,1,2,3,2,2
1165,7.696212639346407,45,12.0,2.563,5.2425,1.888412017167382,0.1357225,0,1,2,1,3
8004,8.022896869601457,45,12.0,24.4122,36.018,0.3810594702648676,6.4064016,0,0,2,1,4
3809,7.937374696163295,45,11.0,10.6652,17.1405,0.7351010763980047,1.4508481,0,2,2,2,3
1051,6.877296071497429,35,11.0,1.01947,3.6785,0.922930542340628,0.1104601,0,1,1,2,3
4163,6.856461984594587,55,8.0,3.95485,22.8965,0.22820081671871248,1.7330569,1,2,2,2,4
2622,6.856461984594587,7,11.0,2.4909,1.8354,0.36231884057971014,0.6874884,0,1,5,2,4
6127,5.135798437050262,45,11.0,1.04159,27.5715,0.0277460421086992,3.7540129,0,0,5,2,3
